დაბადება,თავი პირველი,0,1,თავდაპირველაღ ღმერთმა შექმნა ცა და მიწა.,1,დასაბამად ქმნნა ღმერთმან ცაჲ და ქუეყანაჲ.
დაბადება,თავი პირველი,11,12,"წარმოშვა მიწამ მცენარეული - ბალახი, თესლის მთესველი 
		თავისი გვარისდა მიხედვით, და ხე, თესლოვანი ნაყოფის მომტანი, თავისი 
		გვარისდა მიხედვით.",12,"და გამოიღო ქუეყანამან მწუანვილი თივისაჲ, მთესველი 
		თესლსა ნათესავობისაებრ და მსგავსებისაებრ და ხე ნაყოფიერი, მყოფი 
		ნაყოფისაჲ, რომლისა თესლი მისი მის თანა ნათესავობისაებრ ქუეყანასა ზედა. 
		და იხილა ღმერთმან, რამეთუ კეთილ."
დაბადება,თავი პირველი,12,13,"იყო საღამო, იყო დილა - მესამე დღე.",13,და იქმნა მწუხრი და იქმნა განთიად დღე მესამე.
დაბადება,თავი პირველი,13,14,"თქვა ღმერთმა: იყოს მნათობები ცის მყარზე დღისა და ღამის 
		გასაყრელად, დროჟამის აღმნიშვნელად - დღეებისა და წელიწადებისა;",14,"და თქუა ღმერთმან იქმენინ მნათობნი სამყაროსა შინა ცისასა 
		მნათობად ქუეყანისა განსაყოფელად შორის დღისა და შორის ღამისა. და იყუნედ 
		სასწაულებად დღეებად და ჟამებად და წელიწადებად."
დაბადება,თავი პირველი,14,15,"იყვნენ მანათობლებად ცის მყარზე რომ გაანათონ მიწა. და 
		იქმნა ასე.",15,"და იყუნედ განმანათლებელად სამყაროსა ცისა, რათა ჩნდეს 
		ქუეყანასა ზედა. და იქმნა ეგრეთ."
დაბადება,თავი პირველი,15,16,"გააჩინა ღმერთმა ორი მთავარი მნათობი, - დიდი მნათობი 
		დღის განმგებლად და მცირე მნათობი ღამის განმგებლად - და ვარსკვლავები.",16,"და შექმნა ღმერთმან ორნი მნათობნი დიდნი: მნათობი დიდი 
		მთავრობად დღისა. და მნათობი უმრწემესი - მთავრობად ღამისა. და 
		ვარსკულავნი."
დაბადება,თავი პირველი,16,17,"დასხა ისინი ღმერთმა ცის მყარზე, რომ გაენათებინათ მიწა,",17,"და დასხნა იგინი ღმერთმან სამყაროსა ცისასა, რათა ჩნდენ 
		ქუეყანასა ზედა."
დაბადება,თავი პირველი,17,18,"განეგოთ დღე და ღამე, გაეყარათ ნათელი და ბნელი. დაინახა 
		ღმერთმა, რომ კარგი იყო.",18,"და მთავრობდენ დღესა და ღამესა და განწვალებდენ შორის 
		ნათლისა და შორის ბნელისა. და იხილა ღმერთმან ნათელი, რამეთუ კეთილ."
დაბადება,თავი პირველი,18,19,"იყო საღამო, იყო დილა - მეოთხე დღე.",19,და იქმნა მწუხრი და იქმნა განთიად დღე იგი მეოთხე.
დაბადება,თავი პირველი,19,20,"თქვა ღმერთმა: აფუთფუთდეს წყალში სულდგმული; მიწის ზემოთ 
		კი, ცის მყარზე, ფრინველმა იფრინოს. და იქმნა ასე.",20,"და თქვა ღმერთმან: გამოიღედ წყალთა ქუეწარმავალები 
		სამშჳნველთა ცხოველთაჲ და მფრინველნი ფრინვალენი ქუეყანასა ზედა ჩემისაებრ 
		ცისა. და იქმნა ეგრეთ."
დაბადება,თავი პირველი,20,21,"შექმნა ღმერთმა დიდი თევზები და ყოველი სულდგმული, 
		მცურავი თავ-თავისი გვარისდა მიხედვით, რაც-კი წყალში ფუთფუთებს, და ყველა 
		ფრთოსანი თავ-თავისი გვარისდა მიხედვით. დაინახა ღმერთმა, რომ კარგი იყო.",21,"და შექმნნა ღმერთმან ვეშაპნი დიდნი და ყოველი სული 
		ცხოველთა ქუეწარმავალთაჲ, გამოიღეს წყალთა ნათესაობისაებრ მათისა ყოველი 
		მფრინველი მფრინვალენი ნათესაობისაებრ. და იხილა ღმერთმან, რამეთუ კეთილ."
დაბადება,თავი პირველი,21,22,"აკურთხა ღმერთმა ისინი და თქვა: ინაყოფიერეთ და იმრავლეთ, 
		აავსეთ ზღვები. ფრინველებმა იმრავლონ მიწაზე.",22,"და აკურთხნა იგინი ღმერთმან მეტყუელმან: აღორძნდით და 
		განმრავლდით. და აღავსენით წყალნი ზღჳსანი. და მფრინველნი განმრავლდედ 
		ქუეყანასა ზედა."
დაბადება,თავი პირველი,22,23,"იყო საღამო, იყო დილა - მეხუთე დღე.",23,და იქმნა მწუხრი და იქმნა განთიად დღე მეხუთე.
დაბადება,თავი პირველი,23,24,"თქვა ღმერთმა: წარმოშვას მიწამ სულდგმული თავთავისი 
		გვარისდა მიხედვით - პირუტყვი, ქვემძრომი და მიწის მხეცები თავ-თავისი 
		გვარისდა მიხედვით. და იქმნა ასე.",24,"და თქვა ღმერთმან: გამოიღედ ქუეყანამან სამშჳნველი 
		ცხოველი ნათესაობისაებრ ოთხფერჴთა და ქუეწარმავალთა და მჴეცთა ქუეყანისათა 
		ნათესაობითი. და იქმნა ეგრე."
დაბადება,თავი პირველი,24,25,"გააჩინა ღმერთმა ნადირი თავ-თავისი გვარისდა მიხედვით, 
		საქონელი თავ-თავისი გვარისდა მიხედვით და ქვემძრომი თავ-თავისი გვარისდა 
		მიხედვით. დაინახა ღმერთმა, რომ კარგი იყო.",25,"და შექმნა ღმერთმან მჴეცნი ნათესაობითნი და საცხოვარნი 
		ნათესაობისაებრ მათისა და ყოველი ქუეწარმავალი ქუეყანისა ნათესაობისაებრ 
		მათისა და იხილა ღმერთმან, რამეთუ კეთილ."
დაბადება,თავი პირველი,25,26,"თქვა ღმერთმა: გავაჩინოთ კაცი ჩვენს ხატად, ჩვენს 
		მსგავსებად. ეპატრონოს ზღვაში თევზს, ცაში ფრინველს, პირუტყვს, მთელს 
		დედამიწას და ყველა ქვემძრომს, რაც კი მიწაზე დახოხავს.",26,"და თქვა ღმერთმან: ვქმნეთ კაცი ხატებისაებრ ჩვენისა და 
		მსგავსებისაებრ. და მთავრობდეს თევზთა ზღჳსასა და მფრინველთა ცისათა და 
		პირუტყუთა და მჴეცთა ყოვლისა ქუეყანისა ყოველთა ქუეწარმავალთა მავალთა 
		ქუეყანასა ზედა."
დაბადება,თავი პირველი,26,27,"შექმნა ღმერთმა კაცი, თავის ხატად შექმნა იგი, მამაკაცად 
		და დედაკაცად შექმნა ისინი.",27,"და შექმნა ღმერთმან კაცი სახედ თჳსად და ხატად ღმრთისა 
		შექმნა იგი, მამაკაცად და დედაკაცად ქმნა იგინი."
დაბადება,თავი პირველი,27,28,"აკურთხა ღმერთმა ისინი და უთხრა: ინაყოფიერეთ და 
		იმრავლეთ, აავსეთ დედამიწა, დაეუფლეთ მას, ეპატრონეთ ზღვაში თევზს, ცაში 
		ფრინველს, ყოველ ცხოველს, რაც კი დედამიწაზე დახოხავს.",28,"და აკურთხნა იგინი ღმერთმან მეტყუელმან: აღორძნდით და 
		განმრავლდით. და აღავსეთ ქუეყანაჲ და ეუფლენით მას. და მთავრობდით თევზთა 
		ზღჳსათა, და მფრინველთა ცისათა, და ყოველთა პირუტყუთა, და ყოველსა 
		ქვეყანასა და ყოველთა ქუეწარმავალთა, მავალთა ქვეყანასა ზედა."
დაბადება,თავი პირველი,28,29,"თქვა ღმერთმა: აჰა, მომიცია თქვენთვის ყოველი ბალახი, 
		თესლის მთესველი, რაც კი დედამიწის ზურგზეა, და ყოველი ნაყოფიერი ხე, 
		თესლის მთესველი. ეს იყოს თქვენი საზრდო.",29,"და თქვა ღმერთმან: აჰა, მიგცე თქვენყოველი თივა სათესავი 
		მთესველი თესლისაჲ, რომელ არს ზედა ყოვლისა ქვეყანისა. და ყოველი ხე, 
		რომელსა აქუს თავსა შორის თჳსსა ნაყოფი თესლისაჲ სათესავი, თქუენდა იყოს 
		საჭმელად."
დაბადება,თავი პირველი,29,30,"მიწის ყველა მხეცს, ცის ყველა ფრინველს, ყველა ქვემძრომს, 
		რასაც კი სიცოცხლის სული უდგას, მწვანე ბალახი ჰქონდეს საჭმელად. და იქმნა 
		ასე.",30,"და ყოველთა მჴეცთა ქვეყანისათა და ყოველთა მფრინველთა 
		ცისათა. და ყოვლისა ქუეწარმავალისა, რომელი ვალს ქვეყანასა ზედა, რომელსა 
		აქუს თავსა შორის თვისსა სული სიცოცხლისა, და ყოველი თივა მწვანვილისა 
		საჭამადად და იქმნა ეგრეთ."
დაბადება,თავი პირველი,30,31,"დაინახა ღმერთმა ყოველივე, რაც გააჩინა, და აჰა, ძალიან 
		კარგი იყო. იყო საღამო, იყო დილა - მეექვსე დღე.",31,"და იხილნა ღმერთმან ყოველნი, რაოდენნი ქმნნა, და აჰა 
		კეთილ. ფრიად,და იყო მწუხრი ღა იქმნა განთიად დღე მეექუსე."
დაბადება,თავი მეორე,0,1,"გასრულდა ცა და მიწა მთელი მათი 
		მორთულობითურთ.",1,"და სრულ იქმნეს ცაჲ და ქვეყანა და ყოველი 
		სამკაული მათი."
დაბადება,თავი მეორე,1,2,"გაასრულა ღმერთმა მეექვსე დღეს თავისი საქმე, რაც 
		გააკეთა, და დაისვენა მეშვიდე დღეს ყოველი საქმისგან, რაც გააკეთა.",2,"და განასრულა ღმერთმან დღესა მეექუსესა საქმენი მისნი, 
		რომელნი ქმნნა. და დასცხრა დღესა მეშვიდესა ყოველთაგან საქმეთა მისთა, 
		რომელნი ქმნნა."
დაბადება,თავი მეორე,2,3,"აკურთხა ღმერთმა მეშვიდე დღე და წმიდაჰყო იგი, რადგან ამ 
		დღეს დაისვენა ღმერთმა ყოველი საქმისგან, რასაც ქმნიდა ღმერთი და აკეთებდა.",3,"და აკურთხა ღმერთმან დღე მეშჳდე და წმიდა-ყო იგი, რამეთუ 
		მას შინა დასცხრა ყოველთაგან საქმეთა მისთა, რომელთა იწყო ღმერთმან ქმნად."
დაბადება,თავი მეორე,3,4,"ასეთი იყო ცისა და მიწის დაბადება მათი შექმნისას, როცა 
		ქმნიდა უფალი ღმერთი მიწას და ცას.",4,"ესე წიგნი შესაქმისა ცისა და ქვეყანისაჲ, ოდეს შეიქმნნეს 
		დღესა მას, რომელსა შექმნნა ღმერთმან ცაჲ და ქვეყანაჲ და."
დაბადება,თავი მეორე,4,5,"ჯერ კიდევ მინდვრის ბუჩქიც არ იყო დედამიწაზე, ერთი ღერი 
		ბალახიც არ იყო აღმოცენებული, რადგან არ უწვიმებია უფალ ღმერთს დედამიწაზე 
		და კაცი (ადამი) არ იყო, რომ მიწა დაემუშავებინა.",5,"ყოველი მწვანვილი ველისა პირველ ყოფად ქუეყანასა ზედა და 
		ყოველი თივა ველისა პირველ აღმოცენებადმდე, რამეთუ არ-ღა ეწვიმა ღმერთსა 
		ქუეყანასა ზედა და კაცი არა იყო მოქმედ ქუეყანისა."
დაბადება,თავი მეორე,5,6,ორთქლი ადიოდა მიწიდან და რწყავდა მიწის პირს.,6,"ხოლო წყარო აღ-მო-ვიდოდა ქვეყანით და რწყვიდა პირსა 
		ყოვლისა ქვეყანისასა"
დაბადება,თავი მეორე,6,7,"გამოსახა უფალმა ღმერთმა ადამი (კაცი) მიწის მტვერისაგან 
		და შთაბერა მის ნესტოებს სიცოცხლის სუნთქვა და იქცა ადამი ცოცხალ არსებად.",7,"და შექმნა უფალმან ღმერთმან კაცი მტუერისა მიმღებელმა 
		ქვეყანისაგან. და შთაბერა პირსა მისსა სული სიცოცხლისაჲ და იქმნა კაცი იგი 
		სულად ცხოველად."
დაბადება,თავი მეორე,7,8,"უფალმა ღმერთმა ბაღი გააშენა ედემში, აღმოსავლეთში, და 
		დასვა იქ ადამი, რომელიც გამოსახა.",8,"და დაასხა ღმერთმან სამოთხე ედემისა აღმოსავალით და დადვა 
		მუნ კაცი იგი, რომელ შექმნა."
დაბადება,თავი მეორე,8,9,"აღმოაცენა უფალმა ღმერთმა მიწიდან ყოველი ხე, სანახავად 
		საამო და საჭმელად ვარგისი, შუაგულ ბაღში კი ხე სიცოცხლისა და ხე კეთილის 
		და ბოროტის შეცნობისა.",9,"და აღმო-ვე-აცენა ღმერთმან მერმე ქვეყანით ყოველი ხე 
		შუენიერი ხილვად და კეთილი საჭმელად და ხე ცხოვრებისა - შორის სამოთხესა და 
		ხე იგი - ცნობად კეთილისა და ბოროტისა."
დაბადება,თავი მეორე,9,10,"მდინარე მოედინება ედემიდან ბაღის მოსარწყავად, მერე 
		იტოტება და იქმნება ოთხი ნაკადი.",10,"ხოლო მდინარე გამოვალს ედემით მორწყვად სამოთხისა, მიერ 
		განიყოფვის ოთხად თავად."
დაბადება,თავი მეორე,10,11,"ერთის სახელია ფიშონი; იგი გარს უვლის ხავილას ქვეყანას, 
		სადაც ოქროა.",11,"სახელი ერთისა - ფისონ. ესე არს, რომელი გარემოვლის 
		ყოველსა ქვეყანასა ევლატისასა, მუნ, სადა-იგი არს ოქროჲ."
დაბადება,თავი მეორე,11,12,"კარგია იმ ქვეყნის ოქრო. იქ არის ანთრაკიც და ზურმუხტის 
		ქვაც.",12,"ხოლო ოქრო მის ქვეყანისაჲ კეთილ, მუნ არს ანთრაკი და ქვაჲ 
		იგი კაპოეტი."
დაბადება,თავი მეორე,12,13,"მეორე მდინარის სახელია გიხონი; იგი გარს უვლის მთელს 
		ქუშის ქვეყანას.",13,"და სახელი მდინარისა მეორისა - გეონ. ესე გარემოვლის 
		ყოველსა ქვეყანასა ეთიოპიისასა."
დაბადება,თავი მეორე,13,14,"მესამე მდინარის სახელია ხიდეკელი; იგი ჩაუდის აშურს. 
		მეოთხე მდინარეა ფერათი.",14,"და მდინარე მესამე - ტიგრისი. ესე ვალს წინაშე ასურეთსა, 
		ხოლო მდინარე მეოთხე ევფრატი."
დაბადება,თავი მეორე,14,15,"აიყვანა ადამი უფალმა ღმერთმა და დაასახლა ედემის ბაღში 
		მის დასამუშავებლად და დასაცავად.",15,"და მოიყვანა უფალმან ღმერთმან კაცი, რომელი შექმნა, და 
		დაადგინა იგი სამოთხესა მას საშვებელისასა საქმედ მისა და დაცვად."
დაბადება,თავი მეორე,15,16,"გააფრთხილა უფალმა ღმერთმა ადამი, უთხრა: ყველა ხის 
		ნაყოფი გეჭმევა ამ ბაღში.",16,"და ამცნო უფალმან ღმერთმან ადამს და ჰრქუა: ყოვლისაგან 
		ხისა სამოთხისა ჭამით შჭამო."
დაბადება,თავი მეორე,16,17,"მხოლოდ კეთილის და ბოროტის შეცნობის ხის ნაყოფი არ 
		შეჭამო, რადგან როგორც კი შეჭამ, მოკვდებით.",17,"ხოლო ხისა მისგან ცნობადისა კეთილისა და ბოროტისა არა 
		შჭამოთ მისგან, რამეთუ, რომელსა დღესა შჭამოთ მისგან, სიკუდილითა მოსწყდეთ."
დაბადება,თავი მეორე,17,18,"თქვა უფალმა ღმერთმა: არ ვარგა ადამის მარტო ყოფნა. 
		გავუჩენ შემწეს, მის შესაფერს.",18,"და თქვა ღმერთმან: არა კეთილ არს ყოფად კაცისა ამის 
		მარტოსა, უქმნეთ მაგას შემწე, მსგავსი მაგისი."
დაბადება,თავი მეორე,18,19,"გამოსახა უფალმა ღმერთმა მიწისაგან ველის ყველა ცხოველი 
		და ცის ყველა ფრინველი და მიჰგვარა ადამს, რომ ენახა, რას დაარქმევდა. 
		რომელ სულდგმულს რას დაარქმევდა ადამი, მისი სახელიც ის იქნებოდა.",19,"და და-ვე-ჰბადა უფალმან ღმერთმან ყოველი მჴეცი ველისაჲ 
		ყოველი მფრინველი ცისაჲ და მოიყვანნა იგინი ადამისა ხილვად და ყოველთა 
		მშჳნვიერთა ცხოველთა, რომელიცა უწოდა ადამ, იგი არს სახელი მათი, რაჲძი 
		უწოდოს მათ."
დაბადება,თავი მეორე,19,20,"დაარქვა ადამმა სახელი ყველა პირუტყვს, ცის ფრინველს და 
		ველის ყველა ცხოველს. მაგრამ ადამს არ გამოუჩნდა შემწე, მისი შესაფერი.",20,"და ყოველი, რომელი უწოდა მათ ადამ სახელები ყოველთა 
		საცხოვართა და ყოველთა მფრინველთა ცისათა და ყოველთა მჴეცთა ქვეყანისათა, 
		ხოლო ადამისი არა ეპოვა შემწე მსგავსი მისი."
დაბადება,თავი მეორე,20,21,"უფალმა ღმერთმა ძილქუში მოჰგვარა ადამს და რა დაეძინა, 
		გამოუღო ერთი ნეკნი და მის ადგილას ხორცი ჩაუდო.",21,"დასდვა ღმერთმან განკჳრვებაჲ ადამს და დააძინა: მოიღო 
		ფერცხალი ერთი გუერდისა მისისა. და აღმოუვსო ჴორცითა მის წილ."
დაბადება,თავი მეორე,21,22,"ნეკნისაგან, ადამს რომ გამოუღო, დედაკაცი შექმნა უფალმა 
		ღმერთმა და ადამს მიუყვანა.",22,"და აღუშენა უფალმან ღმერთმან გუერდი, რომელ მოიღო 
		ადამისგან, ცოლად და მოიყვანა იგი ადამისსა:"
დაბადება,თავი მეორე,22,23,"თქვა ადამმა: ეს კი მართლაც ძვალია ჩემი ძვალთაგანი და 
		ხორცი ჩემი ხორცთაგანი. დედაკაცი ერქვას მას, რაკი კაცისგან არის 
		გამოღებული.",23,"და თქვა ადამ: აწ ესე ძუალი ძუალთა ჩემთაგანი და ჴორცი 
		ჴორცთა ჩემთაგანი. ამას ეწოდოს ცოლ, რამეთუ ქმრისა მისისაგან გამოღებულ 
		იქმნა იგი."
დაბადება,თავი მეორე,23,24,"ამიტომაც მიატოვებს კაცი დედ-მამას და მიეწებება თავის 
		დედაკაცს, რათა ერთხორცად იქცნენ.",24,"ამისთჳს დაუტეოს კაცმან მამაჲ თვისი და დედა თვისი და 
		შეეყოს ცოლსა თვისსა"
დაბადება,თავი მეორე,24,25,"შიშველნი იყვნენ ორივენი, ადამი და მისი დედაკაცი, და არ 
		რცხვენოდათ.",25,"და იყვნენ ორნივე იგი ერთ ჴორც. და იყვნეს ორნივე შიშუელ: 
		ადამ და ცოლი მისი, და არა ჰრცხუენოდა."
დაბადება,თავი მესამე,0,1,"გველი ყველაზე ცბიერი იყო ველურ ცხოველთა 
		შორის, რომლებიც უფალმა გააჩინა. უთხრა გველმა დედაკაცს: მართლა გითხრათ 
		ღმერთმა, ბაღის არცერთი ხის ნაყოფი არ შეჭამოთო?",1,"ხოლო გუელი იყო უგონიერეს უფროჲს ყოველთა 
		მჴეცთა ქუეყანასა ზედა, რომელნი ქმნნა უფალმან ღმერთმან და ჰრქუა გუელმან 
		დედაკაცსა: რად რამეთუ თქუა უფალმან ღმერთმან: არა სჭამოთ ყოვლისაგან ხისა 
		სამოთხისა."
დაბადება,თავი მესამე,1,2,"მიუგო დედაკაცმა გველს: რაც კი ბაღშია, ყველა ხის ნაყოფი 
		გვეჭმევა,",2,"და ჰრქუა დედაკაცმან გუელსა: ყოვლისაგან ნაყოფისა ხისა 
		სამოთხისა ვჭამოთ."
დაბადება,თავი მესამე,2,3,"ოღონდ შუაგულ ბაღში რომ ხე დგას, იმის ნაყოფს ნუ შეჭამთ, 
		გვითხრა ღმერთმა; არ გაეკაროთ, თორემ მოკვდებითო.",3,"ხოლო ნაყოფისაგან ხისა, რომელ არს შორის სამოთხისა, თქუა 
		ღმერთმან, არა სჭამოთ მისგანი, არცა შეეხნეთ მას, რათა არა მოჰკუდეთ."
დაბადება,თავი მესამე,3,4,უთხრა გველმა დედაკაცს: არ მოკვდებით.,4,და ჰრქუა გუელმან დედაკაცსა: არა სიკუდილით მოჰკუდეთ.
დაბადება,თავი მესამე,4,5,"მაგრამ იცის ღმერთმა, რომ როგორც კი შეჭამთ, თვალი 
		აგეხილებათ და შეიქნებით ღმერთივით კეთილისა და ბოროტის შემცნობელნი.",5,"რამეთუ უწყოდა ღმერთმან, ვითარმედ: რომელსა დღესა სჭამოთ 
		მისგანი, განგეხუნენ თქუენ თუალნი და იყვნეთ, ვითარცა ღმერთნი, მეცნიერ 
		კეთილისა და ბოროტისა."
დაბადება,თავი მესამე,5,6,"როცა დაინახა დედაკაცმა, რომ კარგი იყო საჭმელად ის ხე, 
		რომ თვალწარმტაცი და საამური სანახავი იყო, მოწყვიტა ნაყოფი და შეჭამა. 
		მისცა თავის კაცს და კაცმაც შეჭამა.",6,"და იხილა დედაკაცმან, რამეთუ კეთილ არს ხე ჭამად და სათნო 
		თვალთათჳს ხილვად და შუენიერ განცდად. და მიმღებელმან დედაკაცმან 
		ნაყოფისაგან ჭამა და მისცა ქმარსა-ცა მისსა მის თანა და ჭამეს."
დაბადება,თავი მესამე,6,7,"აეხილათ თვალი ორივეს და მიხვდნენ, რომ შიშველნი იყვნენ. 
		გადააკერეს ლეღვის ფოთლები და არდაგები გაიკეთეს.",7,"და განეხუნეს თუალნი ორთა-ნი-ვე და აგრძნეს, რამეთუ 
		შიშუელ იყვნეს. და შეკერეს ფურცელი ლეღჳსა და ქმნეს თავთა თჳსთა 
		გარემოსარტყმელნი."
დაბადება,თავი მესამე,7,8,"მოესმათ ხმა უფალი ღმერთისა, რომელიც საღამო ხანს ბაღში 
		მიმოდიოდა, და დაემალნენ უფალ ღმერთს ადამი და მისი დედაკაცი ბაღის ხეებს 
		შორის.",8,"და ესმათ ჴმაჲ უფლისა ღმრთისა, მავალისაჲ სამოთხეს შინა, 
		მიმწუხრი და დაიმალნეს ადამ-ცა და ცოლი მისი პირისაგან უფლისა ღმრთისა 
		საშუალ ხესა სამოთხისასა."
დაბადება,თავი მესამე,8,9,"დაუძახა უფალმა ღმერთმა ადამს და უთხრა: ადამ, სადა ხარ?",9,"და უწოდა უფალმან ღმერთმან ადამს და ჰრქუა მას: ადამ: 
		სადა ხარ?"
დაბადება,თავი მესამე,9,10,"მიუგო: შენი ხმა მომესმა ბაღში და შემეშინდა, შიშველი რომ 
		ვარ, და დავიმალე.",10,"და მან თქუა: ჴმისა შენისა მესმა, მავალისა შორის 
		სამოთხესა, რამეთუ შიშუელ ვარ და დავიმალე."
დაბადება,თავი მესამე,10,11,"უთხრა: ვინ გითხრა, შიშველი რომ ხარ? იმ ხის ნაყოფი ხომ 
		არ გიჭამია, მე რომ აგიკრძალე?",11,"და ჰრქუა მას უფალმან ღმერთმან: ვინ გითხრა შენ, რამეთუ 
		შიშუელ ხარ? უკუეთუ არა ხისაგან, რომლისა გამცენ შენ მისგან ხოლო არა 
		ჭამაჲ, მისგან სჭამე-ა ?"
დაბადება,თავი მესამე,11,12,"უთხრა ადამმა: შენ რომ დედაკაცი მომიყვანე, მან მომცა იმ 
		ხის ნაყოფი და მეც შევჭამე.",12,"და თქუა ადამ: დედაკაცი, რომელი მომეც ჩემ თანა, მან 
		მომცა მე ხისაგან და ვჭამე."
დაბადება,თავი მესამე,12,13,"უთხრა უფალმა ღმერთმა დედაკაცს: ეს რა ჩაიდინე? თქვა 
		დედაკაცმა: გველმა შემაცდინა და მეც შევჭამე.",13,"და ჰრქუა უფალმან ღმერთმან დედაკაცსა: რაჲ ვსე ჰყავ? და 
		თქუა დედაკაცმან: გუელმან მაცთუნა მე და ვჭამე."
